id,name,bic,street,city,zip,country:id
BRINIDJA328,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (TANJUNG PERAK BRANCH)",BRINIDJA328,,SURABAYA,,base.id
BRINIDJA329,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (VETERAN  BRANCH)",BRINIDJA329,,JAKARTA,,base.id
BRINIDJA330,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (FATMAWATI BRANCH)",BRINIDJA330,,JAKARTA,,base.id
BRINIDJA331,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (BATAM BRANCH)",BRINIDJA331,,BATAM,,base.id
BRINIDJA332,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (HAYAM WURUK BRANCH)",BRINIDJA332,,JAKARTA,,base.id
BRINIDJA333,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (BONTANG BRANCH)",BRINIDJA333,,BONTANG,,base.id
BRINIDJA335,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (KRAMAT BRANCH)",BRINIDJA335,,JAKARTA,,base.id
BRINIDJA336,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (MEDAN PEMUDA BRANCH)",BRINIDJA336,,MEDAN,,base.id
BRINIDJA338,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (ROXI BRANCH)",BRINIDJA338,,JAKARTA,,base.id
BRINIDJA340,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (OTISTA BRANCH)",BRINIDJA340,,JAKARTA,,base.id
BRINIDJA343,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (SOMBA OPU BRANCH)",BRINIDJA343,,UJUNG PANDANG,,base.id
BRINIDJA346,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (PASAR PAGI BRANCH)",BRINIDJA346,,JAKARTA,,base.id
BRINIDJA359,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (GATOT SUBROTO BRANCH)",BRINIDJA359,,JAKARTA,,base.id
BRINIDJA370,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (TRADE FINANCE PROCESSING CENTRE JAKARTA I)",BRINIDJA370,,JAKARTA,,base.id
BRINIDJACUS,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (CUSTODIAN BRI)",BRINIDJACUS,,JAKARTA,,base.id
BRINIDJATRY,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (JAKARTA)",BRINIDJATRY,,JAKARTA,,base.id
